Designator,Mid X,Mid Y,Rotation,Layer
C1,-5.925,1.5,0.0,top
C2,3.0,5.75,0.0,top
C3,2.8,4.0,0.0,top
C4,-2.775,-0.45,270.0,top
D1,-5.925,-0.5,0.0,top
D2,-5.9625,-2.5,0.0,top
IC1,-3.1449,5.012259,270.0,top
J1,7.2025,6.947258,0.0,top
J2,4.7775,14.737258,270.0,top
J3,4.6825,-7.262742,270.0,top
R1,4.4,-4.2,0.0,top
R10,-9.3,-2.5,180.0,top
R11,-0.5,9.7,90.0,top
R12,-0.5,0.4,270.0,top
R2,-9.4,1.5,0.0,top
R3,-11.3,10.5,270.0,top
R4,-9.4,-0.5,0.0,top
R5,0.5,-4.1,0.0,top
R6,-3.0,10.475,90.0,top
R7,-5.2,10.475,90.0,top
R8,-9.2,10.5,270.0,top
R9,-7.2,10.5,270.0,top
