Designator,Mid X,Mid Y,Rotation,Layer
C1,-5.925,1.5,0.0,top
C2,3.0,5.75,0.0,top
C3,2.8,4.0,0.0,top
C4,-2.775,-0.45,270.0,top
D1,-5.925,-0.5,0.0,top
D2,-5.9625,-2.5,0.0,top
IC1,-3.1449,5.012259,270.0,top
J1,7.2025,6.947258,0.0,top
J2,4.7775,14.737258,270.0,top
J3,4.6825,-7.262742,270.0,top
R1,-9.325,1.5,0.0,top
R10,-0.525,0.4625,270.0,top
R2,-9.325,-0.5,0.0,top
R3,-3.0,10.325,90.0,top
R4,-5.25,10.3,90.0,top
R5,-9.25,10.3,270.0,top
R6,-7.25,10.3,270.0,top
R7,-11.25,10.3,270.0,top
R8,-9.325,-2.5,180.0,top
R9,-0.5,9.4625,90.0,top
